Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,20.05,$2.28B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,206.93,$123.59B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,9.05,$369.6M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,43.79,$6.36B,2013,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/wuba
AHC,A.H. Belo Corporation,5.45,$118.44M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,A10 Networks Inc.,8.48,$587.98M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,AAC Holdings Inc.,6.47,$155.75M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,35.55,$1.22B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,Aaron&#39;s  Inc.,39.49,$2.87B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,25.35,$54.34B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,47.29,$82.06B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,69.67,$110.88B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,12.72,$865.17M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
GCH,Aberdeen Greater China Fund Inc.,11.16,$98.79M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
JEQ,Aberdeen Japan Equity Fund Inc. ,8.53,$114.72M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,Aberdeen Singapore Fund Inc.,11.2,$84.63M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,43.05,$2.4B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,28,$2.37B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc,125.82,$80.66B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
